Distrito,mujer,hombre
Chamberí,86.12,80.56
Hortaleza,86.06,80.24
Retiro,86.05,80.45
Moratalaz,85.96,78.6
Salamanca,85.85,81.13
Barajas,85.72,81.27
Latina,85.69,78.9
Centro,85.67,79.56
Arganzuela,85.53,79
Ciudad Lineal,85.45,79.8
San Blas-Canillejas,85.42,78.76
Fuencarral-El Pardo,85.27,79.91
Chamartín,85.08,80.33
Moncloa-Aravaca,85.05,79.78
Villaverde,84.62,78.68
Usera,84.57,78.05
Tetuán,84.44,78.05
Vicálvaro,84.29,79.35
Carabanchel,84.24,78.59
Puente de Vallecas,83.84,77.05
Villa de Vallecas,83.48,77.72
