distrito,sexo,valor
Villa de Vallecas,mujer,83.48
Puente de Vallecas,mujer,83.84
Carabanchel,mujer,84.24
Vicálvaro,mujer,84.29
Tetuán,mujer,84.44
Usera,mujer,84.57
Villaverde,mujer,84.62
Moncloa-Aravaca,mujer,85.05
Chamartín,mujer,85.08
Fuencarral-El Pardo,mujer,85.27
San Blas-Canillejas,mujer,85.42
Ciudad Lineal,mujer,85.45
Arganzuela,mujer,85.53
Centro,mujer,85.67
Latina,mujer,85.69
Barajas,mujer,85.72
Salamanca,mujer,85.85
Moratalaz,mujer,85.96
Retiro,mujer,86.05
Hortaleza,mujer,86.06
Chamberí,mujer,86.12
Arganzuela,hombre,79
Puente de Vallecas,hombre,77.05
Villa de Vallecas,hombre,77.72
Tetuán,hombre,78.05
Usera,hombre,78.05
Carabanchel,hombre,78.59
Moratalaz,hombre,78.6
Villaverde,hombre,78.68
San Blas-Canillejas,hombre,78.76
Latina,hombre,78.9
Vicálvaro,hombre,79.35
Centro,hombre,79.56
Moncloa-Aravaca,hombre,79.78
Ciudad Lineal,hombre,79.8
Fuencarral-El Pardo,hombre,79.91
Hortaleza,hombre,80.24
Chamartín,hombre,80.33
Retiro,hombre,80.45
Chamberí,hombre,80.56
Salamanca,hombre,81.13
Barajas,hombre,81.27
