Distrito,Esperanza de vida,Renta media anual 
Centro,82.75,33473
Arganzuela,82.44,42088
Retiro,83.5,53111
Salamanca,83.82,57720
Chamartín,82.99,65995
Tetuán,81.5,36142
Chamberí,83.74,51644
Fuencarral-El Pardo,82.7,50379
Moncloa-Aravaca,82.62,58965
Latina,82.44,30847
Carabanchel,81.59,28721
Usera,81.45,26501
Puente de Vallecas,80.55,25527
Moratalaz,82.47,35514
Ciudad Lineal,82.9,37621
Hortaleza,83.25,49695
Villaverde,81.76,27392
Villa de Vallecas,80.6,31447
Vicálvaro,81.87,32713
San Blas-Canillejas,82.2,35546
Barajas,83.57,47782
