fecha,Temperaturamedia-maxima,Temperaturamedia-maximanormal,Temperaturamedia-minima,Temperaturamedia-minimanormal,Temperaturamedia-mensual,Temperaturamedia-medianormal
1/01/1988,"10,6","9,4",5,"2,6","7,8","5,8"
1/02/1988,"11,4","11,3","3,8","3,4","7,6","7,3"
1/03/1988,"17,4","14,4",6,"5,1","11,7","9,8"
1/04/1988,"16,9","17,4","8,1","7,1","12,5","12,2"
1/05/1988,20,"21,4",11,"10,6","15,5",16
1/06/1988,"23,1","26,4","13,3","14,8","18,2","20,6"
1/07/1988,"30,4","30,6",18,"17,9","24,2","24,2"
1/08/1988,"31,5","29,8",19,"17,4","25,3","23,6"
1/09/1988,"27,5","25,8","15,7","14,9","21,6","20,4"
1/10/1988,"19,8","18,9","11,1","10,2","15,5","14,5"
1/11/1988,"13,4","12,8","7,2","5,6","10,3","9,2"
1/12/1988,"10,7","9,5","2,5","3,2","6,6","6,3"
1/01/1989,"10,6","9,5","2,7","2,7","6,7","5,8"
1/02/1989,"12,8","11,2","4,5","3,4","8,7","7,3"
1/03/1989,18,"14,5","7,2","5,2","12,6","9,8"
1/04/1989,"15,4","17,4","6,6","7,2",11,"12,3"
1/05/1989,"23,8","21,3",13,"10,6","18,4","15,9"
1/06/1989,28,"26,3","16,4","14,8","22,2","20,6"
1/07/1989,"33,1","30,6","20,3","17,9","26,7","24,3"
1/08/1989,"31,8","29,8","20,2","17,5",26,"23,7"
1/09/1989,"24,7","25,8","14,9","14,9","19,8","20,3"
1/10/1989,"20,6","18,9",11,"10,2","15,8","14,6"
1/11/1989,"14,6","12,8","9,2","5,7","11,9","9,3"
1/12/1989,"11,3","9,6","7,7","3,1","9,5","6,3"
1/01/1990,"9,7","9,5","3,2","2,7","6,5","5,8"
1/02/1990,"15,4","11,2","6,3","3,5","10,9","7,3"
1/03/1990,"16,5","14,6","6,5","5,2","11,5","9,9"
1/04/1990,"15,8","17,3","6,7","7,2","11,3","12,2"
1/05/1990,"23,3","21,4","12,3","10,6","17,8",16
1/06/1990,"29,6","26,4","17,2","14,8","23,4","20,6"
1/07/1990,"32,6","30,6","20,1","17,9","26,4","24,3"
1/08/1990,"31,9",30,"19,7","17,6","25,8","23,8"
1/09/1990,"27,2","25,9","16,9","14,9","22,1","20,4"
1/10/1990,"18,5",19,"10,9","10,3","14,7","14,6"
1/11/1990,"13,2","12,9","5,4","5,8","9,3","9,4"
1/12/1990,"8,6","9,6","1,9","3,2","5,3","6,4"
1/01/1991,"8,5","9,6","2,6","2,7","5,6","5,8"
1/02/1991,"9,4","11,4","2,3","3,5","5,9","7,5"
1/03/1991,"14,1","14,7","6,7","5,2","10,4",10
1/04/1991,"17,2","17,2","6,4","7,1","11,8","12,2"
1/05/1991,"22,5","21,4","9,4","10,7",16,16
1/06/1991,"30,3","26,4","16,6","14,9","23,5","20,7"
1/07/1991,"33,3","30,7","19,7",18,"26,5","24,4"
1/08/1991,34,"30,1","20,5","17,7","27,3","23,9"
1/09/1991,"27,3","25,9","16,5",15,"21,9","20,5"
1/10/1991,16,"19,1","8,5","10,4","12,3","14,7"
1/11/1991,13,"12,9","5,8","5,8","9,4","9,4"
1/12/1991,"10,3","9,7","3,9","3,2","7,1","6,4"
