week,pais,valor
2018-01-01,Austria,1205
2018-01-01,Bélgica,1349
2018-01-01,Bulgaria,1043
2018-01-01,Croacia,1305
2018-01-01,Chipre,1224
2018-01-01,República Checa,1193
2018-01-01,Dinamarca,1547
2018-01-01,Estonia,1237
2018-01-01,Finlandia,1456
2018-01-01,Francia,1408
2018-01-01,Alemania,1378
2018-01-01,Grecia,1534
2018-01-01,Hungría,1155
2018-01-01,Irlanda,1389
2018-01-01,Italia,1555
2018-01-01,Letonia,1187
2018-01-01,Lituania,1160
2018-01-01,Luxemburgo,1180
2018-01-01,Países Bajos,1576
2018-01-01,Polonia,1127
2018-01-01,Portugal,1510
2018-01-01,Rumanía,1109
2018-01-01,Eslovaquia,1305
2018-01-01,Eslovenia,1289
2018-01-01,España,1243
2018-01-01,Suecia,1495
2018-01-01,Reino Unido,1355
2018-01-08,Austria,1205
2018-01-08,Bélgica,1362
2018-01-08,Bulgaria,1044
2018-01-08,Croacia,1314
2018-01-08,Chipre,1232
2018-01-08,República Checa,1191
2018-01-08,Dinamarca,1534
2018-01-08,Estonia,1245
2018-01-08,Finlandia,1465
2018-01-08,Francia,1468
2018-01-08,Alemania,1376
2018-01-08,Grecia,1540
2018-01-08,Hungría,1170
2018-01-08,Irlanda,1389
2018-01-08,Italia,1562
2018-01-08,Letonia,1219
2018-01-08,Lituania,1171
2018-01-08,Luxemburgo,1180
2018-01-08,Países Bajos,1581
2018-01-08,Polonia,1130
2018-01-08,Portugal,1523
2018-01-08,Rumanía,1139
2018-01-08,Eslovaquia,1304
2018-01-08,Eslovenia,1291
2018-01-08,España,1249
2018-01-08,Suecia,1501
2018-01-08,Reino Unido,1363
2018-01-15,Austria,1207
2018-01-15,Bélgica,1366
2018-01-15,Bulgaria,1044
2018-01-15,Croacia,1308
2018-01-15,Chipre,1233
2018-01-15,República Checa,1197
2018-01-15,Dinamarca,1533
2018-01-15,Estonia,1313
2018-01-15,Finlandia,1475
2018-01-15,Francia,1475
2018-01-15,Alemania,1352
2018-01-15,Grecia,1544
2018-01-15,Hungría,1176
2018-01-15,Irlanda,1399
2018-01-15,Italia,1567
2018-01-15,Letonia,1225
2018-01-15,Lituania,1166
2018-01-15,Luxemburgo,1197
2018-01-15,Países Bajos,1600
2018-01-15,Polonia,1136
2018-01-15,Portugal,1534
2018-01-15,Rumanía,1151
2018-01-15,Eslovaquia,1318
2018-01-15,Eslovenia,1301
2018-01-15,España,1254
2018-01-15,Suecia,1503
2018-01-15,Reino Unido,1358
2018-01-22,Austria,1205
2018-01-22,Bélgica,1351
2018-01-22,Bulgaria,1044
2018-01-22,Croacia,1315
2018-01-22,Chipre,1231
2018-01-22,República Checa,1206
2018-01-22,Dinamarca,1534
2018-01-22,Estonia,1309
2018-01-22,Finlandia,1445
2018-01-22,Francia,1476
2018-01-22,Alemania,1356
2018-01-22,Grecia,1549
2018-01-22,Hungría,1183
2018-01-22,Irlanda,1399
2018-01-22,Italia,1571
2018-01-22,Letonia,1230
2018-01-22,Lituania,1175
2018-01-22,Luxemburgo,1197
2018-01-22,Países Bajos,1590
2018-01-22,Polonia,1133
2018-01-22,Portugal,1517
2018-01-22,Rumanía,1145
2018-01-22,Eslovaquia,1330
2018-01-22,Eslovenia,1304
2018-01-22,España,1255
2018-01-22,Suecia,1504
2018-01-22,Reino Unido,1379
2018-01-29,Austria,1209
2018-01-29,Bélgica,1363
2018-01-29,Bulgaria,1048
2018-01-29,Croacia,1316
2018-01-29,Chipre,1231
2018-01-29,República Checa,1214
2018-01-29,Dinamarca,1548
2018-01-29,Estonia,1333
2018-01-29,Finlandia,1461
2018-01-29,Francia,1478
2018-01-29,Alemania,1371
2018-01-29,Grecia,1550
2018-01-29,Hungría,1184
2018-01-29,Irlanda,1389
2018-01-29,Italia,1573
2018-01-29,Letonia,1230
2018-01-29,Lituania,1171
2018-01-29,Luxemburgo,1197
2018-01-29,Países Bajos,1602
2018-01-29,Polonia,1133
2018-01-29,Portugal,1517
2018-01-29,Rumanía,1153
2018-01-29,Eslovaquia,1329
2018-01-29,Eslovenia,1308
2018-01-29,España,1256
2018-01-29,Suecia,1521
2018-01-29,Reino Unido,1384
2018-02-05,Austria,1210
2018-02-05,Bélgica,1369
2018-02-05,Bulgaria,1056
2018-02-05,Croacia,1325
2018-02-05,Chipre,1236
